delta X,delta width (tvoidFree),delta volume (tvoidFree)
-0.5,0.000912969,-4.494008167754834e-01
-4.900000000000000e-01,9.129687994449132e-04,-4.403945410639848e-01
-4.800000000000000e-01,9.129687994449132e-04,-4.313882653524862e-01
-4.700000000000000e-01,9.129687994449132e-04,-4.223819896409875e-01
-4.600000000000000e-01,9.129687994449132e-04,-4.133757139294891e-01
-4.500000000000000e-01,9.129687994449132e-04,-4.043694382179905e-01
-4.400000000000000e-01,9.129687994449132e-04,-3.953631625064918e-01
-4.300000000000000e-01,9.129687994449132e-04,-3.863568867949934e-01
-4.200000000000000e-01,9.129687994449132e-04,-3.773506110834947e-01
-4.100000000000000e-01,9.129687994449132e-04,-3.683443353719963e-01
-4.000000000000000e-01,9.129687994449132e-04,-3.593380596604977e-01
-3.900000000000000e-01,9.129687994449132e-04,-3.503317839489991e-01
-3.800000000000000e-01,9.129687994449132e-04,-3.413255082375005e-01
-3.700000000000000e-01,9.129687994449132e-04,-3.323192325260019e-01
-3.600000000000000e-01,9.129687994449132e-04,-3.233129568145034e-01
-3.500000000000000e-01,9.129687994449132e-04,-3.143066811030049e-01
-3.400000000000000e-01,9.129687994449132e-04,-3.053004053915063e-01
-3.300000000000000e-01,9.129687994449132e-04,-2.962941296800078e-01
-3.200000000000000e-01,9.129687994449132e-04,-2.872878539685092e-01
-3.100000000000000e-01,9.129687994449132e-04,-2.782815782570107e-01
-3.000000000000000e-01,9.129687994449132e-04,-2.692753025455119e-01
-2.900000000000000e-01,9.129687994449132e-04,-2.602690268340133e-01
-2.800000000000000e-01,9.129687994449132e-04,-2.512627511225151e-01
-2.700000000000000e-01,9.129687994449132e-04,-2.422564754110162e-01
-2.600000000000000e-01,9.129687994449132e-04,-2.332501996995177e-01
-2.500000000000000e-01,9.129687994449132e-04,-2.242439239880192e-01
-2.400000000000000e-01,9.129687994449132e-04,-2.152376482765209e-01
-2.300000000000000e-01,9.129687994449132e-04,-2.062313725650221e-01
-2.200000000000000e-01,9.129687994449132e-04,-1.972250968535235e-01
-2.100000000000000e-01,9.129687994449132e-04,-1.882188211420249e-01
-2.000000000000000e-01,9.129687994449132e-04,-1.792125454305266e-01
-1.900000000000000e-01,9.129687994449132e-04,-1.702062697190279e-01
-1.800000000000000e-01,9.129687994449132e-04,-1.611999940075293e-01
-1.700000000000000e-01,9.129687994449132e-04,-1.521937182960308e-01
-1.600000000000000e-01,9.129687994449132e-04,-1.431874425845322e-01
-1.500000000000000e-01,9.129687994449132e-04,-1.341811668730335e-01
-1.400000000000000e-01,9.129687994449132e-04,-1.251748911615351e-01
-1.300000000000000e-01,9.129687994449132e-04,-1.161686154500363e-01
-1.200000000000000e-01,9.129687994449132e-04,-1.071623397385378e-01
-1.100000000000000e-01,9.129687994449132e-04,-9.815606402703925e-02
-1.000000000000000e-01,9.129687994449132e-04,-8.914978831554066e-02
-9.000000000000000e-02,9.129687994449132e-04,-8.014351260404207e-02
-8.000000000000000e-02,9.129687994449132e-04,-7.113723689254359e-02
-7.000000000000001e-02,9.129687994449132e-04,-6.213096118104511e-02
-6.000000000000000e-02,9.129687994449132e-04,-5.312468546954652e-02
-5.000000000000000e-02,9.129687994449132e-04,-4.411840975804793e-02
-4.000000000000000e-02,9.129687994449132e-04,-3.511213404654945e-02
-3.000000000000000e-02,9.129687994449132e-04,-2.610585833505086e-02
-2.000000000000000e-02,9.129687994449132e-04,-1.709958262355227e-02
-1.000000000000000e-02,0.000000000000000e+00,-8.998060762766547e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-9.129687994446911e-04,8.076877014590034e-03
2.000000000000000e-02,-9.129687994446911e-04,1.706672282862476e-02
3.000000000000000e-02,-9.129687994446911e-04,2.605656864265948e-02
4.000000000000000e-02,-9.129687994446911e-04,3.504641445669443e-02
5.000000000000000e-02,-9.129687994446911e-04,4.403626027072916e-02
6.000000000000000e-02,-9.129687994446911e-04,5.302610608476388e-02
7.000000000000001e-02,-9.129687994446911e-04,6.201595189879860e-02
8.000000000000000e-02,-9.129687994446911e-04,7.100579771283333e-02
9.000000000000000e-02,-9.129687994446911e-04,7.999564352686805e-02
1.000000000000000e-01,-9.129687994446911e-04,8.898548934090278e-02
1.100000000000000e-01,-9.129687994446911e-04,9.797533515493750e-02
1.200000000000000e-01,-9.129687994446911e-04,1.069651809689722e-01
1.300000000000000e-01,-9.129687994446911e-04,1.159550267830067e-01
1.400000000000000e-01,-9.129687994434699e-04,1.249448725970430e-01
1.500000000000000e-01,-9.129687994434699e-04,1.339347184110777e-01
1.600000000000000e-01,-9.129687994434699e-04,1.429245642251125e-01
1.700000000000000e-01,-9.129687994434699e-04,1.519144100391472e-01
1.800000000000000e-01,-9.129687994434699e-04,1.609042558531821e-01
1.900000000000000e-01,-9.129687994434699e-04,1.698941016672169e-01
2.000000000000000e-01,-9.129687994434699e-04,1.788839474812516e-01
2.100000000000000e-01,-9.129687994434699e-04,1.878737932952863e-01
2.200000000000000e-01,-9.129687994434699e-04,1.968636391093213e-01
2.300000000000000e-01,-9.129687994434699e-04,2.058534849233558e-01
2.400000000000000e-01,-1.825937598888383e-03,2.137332031683796e-01
2.500000000000000e-01,-1.825937598888383e-03,2.227148340336826e-01
2.600000000000000e-01,-1.825937598888383e-03,2.316964648989852e-01
2.700000000000000e-01,-1.825937598888383e-03,2.406780957642880e-01
2.800000000000000e-01,-1.825937598888383e-03,2.496597266295912e-01
2.900000000000000e-01,-1.825937598888383e-03,2.586413574948940e-01
3.000000000000000e-01,-2.738906398333296e-03,2.664635710987944e-01
3.100000000000000e-01,-2.738906398333296e-03,2.754369870153652e-01
3.200000000000000e-01,-2.738906398333296e-03,2.844104029319363e-01
3.300000000000000e-01,-2.738906398333296e-03,2.933838188485069e-01
3.400000000000000e-01,-2.738906398333296e-03,3.023572347650783e-01
3.500000000000000e-01,-2.738906398333296e-03,3.113306506816491e-01
3.600000000000000e-01,-2.738906398333296e-03,3.203040665982195e-01
3.700000000000000e-01,-2.738906398333296e-03,3.292774825147911e-01
3.800000000000000e-01,-2.738906398333296e-03,3.382508984313617e-01
3.900000000000000e-01,-2.738906398333296e-03,3.472243143479328e-01
4.000000000000000e-01,-2.738906398333296e-03,3.561977302645036e-01
4.100000000000000e-01,-2.738906398333296e-03,3.651711461810747e-01
4.200000000000000e-01,-2.738906398333296e-03,3.741445620976454e-01
4.300000000000000e-01,-2.738906398333296e-03,3.831179780142164e-01
4.400000000000000e-01,-2.738906398333296e-03,3.920913939307873e-01
4.500000000000000e-01,-2.738906398333296e-03,4.010648098473584e-01
4.600000000000000e-01,-2.738906398333296e-03,4.100382257639290e-01
4.700000000000000e-01,-3.651875197778209e-03,4.177125702906552e-01
4.800000000000000e-01,-3.651875197778209e-03,4.266777712584944e-01
4.900000000000000e-01,-3.651875197778209e-03,4.356429722263331e-01
5.000000000000000e-01,-3.651875197778209e-03,4.446081731941722e-01
